brand_name,active_ingredient,generic_name,use_case,side_effects,price,manufacturer,precautions
Crocin,Paracetamol,Paracetamol,Fever and pain relief,Nausea; Skin rash; Liver damage (overdose),25.50,GSK,Do not exceed 4g per day; Avoid alcohol
Dolo 650,Paracetamol,Paracetamol,Fever and pain relief,Nausea; Allergic reactions,30.00,Micro Labs,Consult doctor if pregnant; Avoid with alcohol
Calpol,Paracetamol,Paracetamol,Fever and pain relief for children,Rare allergic reactions,35.00,GSK,Follow age-appropriate dosing
Brufen,Ibuprofen,Ibuprofen,Pain relief and inflammation,Stomach upset; Dizziness; Headache,42.00,Abbott,Take with food; Avoid if stomach ulcers
Combiflam,Ibuprofen + Paracetamol,Ibuprofen + Paracetamol,Fever; Pain; Inflammation,Nausea; Dizziness; Stomach pain,38.50,Sanofi,Not for long-term use; Take with food
Disprin,Aspirin,Aspirin,Pain relief; Blood thinner,Stomach irritation; Bleeding,20.00,Reckitt Benckiser,Avoid if bleeding disorders; Take with food
Ecosprin,Aspirin,Aspirin,Heart attack prevention; Blood thinner,Stomach upset; Bleeding,15.00,USV,Regular monitoring required; Avoid before surgery
Azithral 500,Azithromycin,Azithromycin,Bacterial infections,Diarrhea; Nausea; Abdominal pain,180.00,Alembic Pharma,Complete full course; Take on empty stomach
Zathrin,Azithromycin,Azithromycin,Respiratory infections,Stomach upset; Diarrhea,165.00,Alkem Laboratories,Do not skip doses
Augmentin,Amoxicillin + Clavulanic Acid,Amoxicillin + Clavulanic Acid,Bacterial infections,Diarrhea; Nausea; Skin rash,250.00,GSK,Complete full course; Take with food
Clavam 625,Amoxicillin + Clavulanic Acid,Amoxicillin + Clavulanic Acid,Infections; Pneumonia,Diarrhea; Vomiting; Allergic reactions,220.00,Alkem Laboratories,Inform doctor of allergies
Amoxil,Amoxicillin,Amoxicillin,Bacterial infections,Diarrhea; Nausea; Rash,120.00,GSK,Complete full course
Norflox TZ,Norfloxacin + Tinidazole,Norfloxacin + Tinidazole,Diarrhea; Dysentery,Nausea; Headache; Dizziness,85.00,Cipla,Avoid alcohol during treatment
Cifran,Ciprofloxacin,Ciprofloxacin,Urinary tract infections; Typhoid,Nausea; Diarrhea; Dizziness,95.00,Sun Pharma,Stay hydrated; Avoid dairy 2hrs before/after
Cetirizine,Cetirizine,Cetirizine,Allergies; Hay fever; Itching,Drowsiness; Dry mouth; Headache,25.00,Multiple,Avoid driving if drowsy
