brand_name,active_ingredient,generic_name,use_case,side_effects,price,manufacturer,precautions,strength,dosage_form,is_otc,schedule,age_group,interactions,contraindications,hindi_name
Aceclo 100,Aceclofenac,Aceclofenac,Pain and inflammation,Gastric irritation,52.0,Aristo,Avoid alcohol,100 mg,Tablet,False,H,adult,Avoid with active ulcers/anticoagulants; take with food.,"Active GI bleed, severe ulcer disease, hypersensitivity.",
Generic Aceclofenac,Aceclofenac,Aceclofenac,Pain and osteoarthritis,Stomach discomfort; Rash,40.12,Generic Manufacturer,Take after meals,100 mg,Tablet,False,H,adult,Avoid with active ulcers/anticoagulants; take with food.,"Active GI bleed, severe ulcer disease, hypersensitivity.",
Hifenac 100,Aceclofenac,Aceclofenac,Pain and osteoarthritis,Stomach discomfort; Rash,55.0,Intas,Take after meals,100 mg,Tablet,False,H,adult,Avoid with active ulcers/anticoagulants; take with food.,"Active GI bleed, severe ulcer disease, hypersensitivity.",
Local Pharmacy Aceclofenac,Aceclofenac,Aceclofenac,Pain and osteoarthritis,Stomach discomfort; Rash,34.77,Local Pharmacy,Take after meals,100 mg,Tablet,False,H,adult,Avoid with active ulcers/anticoagulants; take with food.,"Active GI bleed, severe ulcer disease, hypersensitivity.",
Acyclovir 400,Acyclovir,Acyclovir,Herpes infections,Nausea; Diarrhea; Headache,45.0,Generic,Start at first symptoms,400 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Acyclovir,Acyclovir,Acyclovir,Herpes infections,Nausea; Diarrhea; Headache,48.75,Generic Manufacturer,Start at first symptoms,400 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Acyclovir,Acyclovir,Acyclovir,Herpes infections,Nausea; Diarrhea; Headache,42.25,Local Pharmacy,Start at first symptoms,400 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Zovirax 400,Acyclovir,Acyclovir,Herpes infections,Kidney effects with high doses,85.0,GlaxoSmithKline,Stay well hydrated,400 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Adaferin-BPO Gel,Adapalene + Benzoyl Peroxide,Adapalene + Benzoyl Peroxide,Acne topical treatment,Skin irritation; Dryness,195.0,Galenic Labs,Apply at night; Sunscreen in day,Unknown,Gel,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Adapalene + Benzoyl Peroxide,Adapalene + Benzoyl Peroxide,Adapalene + Benzoyl Peroxide,Acne topical treatment,Skin irritation; Dryness,146.25,Generic Manufacturer,Apply at night; Sunscreen in day,Unknown,Gel,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Adapalene + Benzoyl Peroxide,Adapalene + Benzoyl Peroxide,Adapalene + Benzoyl Peroxide,Acne topical treatment,Skin irritation; Dryness,126.75,Local Pharmacy,Apply at night; Sunscreen in day,Unknown,Gel,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Alprax 0.5,Alprazolam,Alprazolam,Anxiety and panic disorders,Sedation; Confusion,28.5,Sun Pharmaceutical,Avoid alcohol,0.5 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Alprazolam 0.5,Alprazolam,Alprazolam,Anxiety and panic disorders,Drowsiness; Dizziness; Memory problems,25.0,Generic,Habit forming - use as prescribed,0.5 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Generic Alprazolam,Alprazolam,Alprazolam,Anxiety and panic disorders,Drowsiness; Dizziness; Memory problems,21.38,Generic Manufacturer,Habit forming - use as prescribed,0.5 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Local Pharmacy Alprazolam,Alprazolam,Alprazolam,Anxiety and panic disorders,Drowsiness; Dizziness; Memory problems,18.53,Local Pharmacy,Habit forming - use as prescribed,0.5 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Xanax 0.5,Alprazolam,Alprazolam,Anxiety and panic disorders,Dependence; Withdrawal symptoms,65.0,Pfizer,Do not drive after taking,0.5 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Amitone 10,Amitriptyline,Amitriptyline,Chronic pain; Depression,Drowsiness; Dry mouth,32.0,Intas,Bedtime dosing,10 mg,Tablet,False,H,adult,Risk of serotonin syndrome with MAOIs/Triptans.,MAOI use within 14 days.,
Generic Amitriptyline,Amitriptyline,Amitriptyline,Chronic pain; Depression,Drowsiness; Dry mouth,24.0,Generic Manufacturer,Bedtime dosing,10 mg,Tablet,False,H,adult,Risk of serotonin syndrome with MAOIs/Triptans.,MAOI use within 14 days.,
Local Pharmacy Amitriptyline,Amitriptyline,Amitriptyline,Chronic pain; Depression,Drowsiness; Dry mouth,20.8,Local Pharmacy,Bedtime dosing,10 mg,Tablet,False,H,adult,Risk of serotonin syndrome with MAOIs/Triptans.,MAOI use within 14 days.,
Amlodipine 5mg,Amlodipine,Amlodipine,High blood pressure,Swelling; Headache; Flushing,18.0,Generic,Take same time daily,5MG,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,एमलोडिपाइन
Amlong 5,Amlodipine,Amlodipine,High blood pressure,Ankle swelling; Fatigue,22.0,Micro Labs,Regular BP monitoring needed,5 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,एमलोडिपाइन
Generic Amlodipine,Amlodipine,Amlodipine,High blood pressure,Swelling; Headache; Flushing,16.5,Generic Manufacturer,Take same time daily,5MG,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,एमलोडिपाइन
Local Pharmacy Amlodipine,Amlodipine,Amlodipine,High blood pressure,Swelling; Headache; Flushing,14.3,Local Pharmacy,Take same time daily,5MG,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,एमलोडिपाइन
Norvasc 5mg,Amlodipine,Amlodipine,High blood pressure,Dizziness; Palpitations,28.0,Pfizer,Do not stop suddenly,5MG,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,एमलोडिपाइन
Generic Amoxicillin,Amoxicillin,Amoxicillin,Bacterial infections,Allergic reactions; Diarrhea,48.75,Generic Manufacturer,Inform doctor if allergic to penicillin,500 mg,Tablet,False,H,adult,May reduce effectiveness of oral contraceptives; report rashes.,Hypersensitivity to penicillins.,एमोक्सीसिलिन
Local Pharmacy Amoxicillin,Amoxicillin,Amoxicillin,Bacterial infections,Allergic reactions; Diarrhea,42.25,Local Pharmacy,Inform doctor if allergic to penicillin,500 mg,Tablet,False,H,adult,May reduce effectiveness of oral contraceptives; report rashes.,Hypersensitivity to penicillins.,एमोक्सीसिलिन
Mox 500,Amoxicillin,Amoxicillin,Bacterial infections,Allergic reactions; Diarrhea,65.0,Sun Pharmaceutical,Inform doctor if allergic to penicillin,500 mg,Tablet,False,H,adult,May reduce effectiveness of oral contraceptives; report rashes.,Hypersensitivity to penicillins.,एमोक्सीसिलिन
Augmentin 375,Amoxicillin + Clavulanic Acid,Amoxicillin + Clavulanic Acid,Bacterial infections,Diarrhea; Rash,110.0,GlaxoSmithKline,Take with meals,375 mg,Tablet,False,H,adult,GI upset common; take with food; watch for allergic reactions.,History of cholestatic jaundice/hepatic dysfunction with augmentin use.,
Augmentin 625,Amoxicillin + Clavulanic Acid,Amoxicillin + Clavulanic Acid,Bacterial infections,Diarrhea; Nausea; Rash,135.0,GlaxoSmithKline,Complete full course even if feeling better,625 mg,Tablet,False,H,adult,GI upset common; take with food; watch for allergic reactions.,History of cholestatic jaundice/hepatic dysfunction with augmentin use.,
Augmentin DS Dry Syrup,Amoxicillin + Clavulanic Acid,Amoxicillin + Clavulanic Acid,Bacterial infections (pediatric),Diarrhea; Rash,130.0,Generic,Reconstitute and refrigerate; complete full course,125/31.25 mg per 5 ml,Suspension,False,H,pediatric,GI upset common; take with food; watch for allergic reactions.,History of cholestatic jaundice/hepatic dysfunction with augmentin use.,एमोक्सीसिलिन + क्लेवुलैनिक एसिड
Clavam 625,Amoxicillin + Clavulanic Acid,Amoxicillin + Clavulanic Acid,Bacterial infections,Stomach upset; Diarrhea,125.0,Alkem Laboratories,Take with food,625 mg,Tablet,False,H,adult,GI upset common; take with food; watch for allergic reactions.,History of cholestatic jaundice/hepatic dysfunction with augmentin use.,
Clavam DS Dry Syrup,Amoxicillin + Clavulanic Acid,Amoxicillin + Clavulanic Acid,Bacterial infections (pediatric),Diarrhea; Rash,130.0,Generic,Reconstitute and refrigerate; complete full course,125/31.25 mg per 5 ml,Suspension,False,H,pediatric,GI upset common; take with food; watch for allergic reactions.,History of cholestatic jaundice/hepatic dysfunction with augmentin use.,एमोक्सीसिलिन + क्लेवुलैनिक एसिड
Generic Amoxicillin + Clavulanic Acid,Amoxicillin + Clavulanic Acid,Amoxicillin + Clavulanic Acid,Bacterial infections,Diarrhea; Nausea; Rash,94.88,Generic Manufacturer,Complete full course even if feeling better,625 mg,Tablet,False,H,adult,GI upset common; take with food; watch for allergic reactions.,History of cholestatic jaundice/hepatic dysfunction with augmentin use.,
