brand_name,active_ingredient,generic_name,use_case,side_effects,price,manufacturer,precautions,strength,dosage_form,is_otc,schedule,age_group,interactions,contraindications,hindi_name
Aceclo 100,Aceclofenac,Aceclofenac,Pain and inflammation,Gastric irritation,52.0,Aristo,Avoid alcohol,100 mg,Tablet,False,H,adult,Avoid with active ulcers/anticoagulants; take with food.,"Active GI bleed, severe ulcer disease, hypersensitivity.",
Hifenac 100,Aceclofenac,Aceclofenac,Pain and osteoarthritis,Stomach discomfort; Rash,55.0,Intas,Take after meals,100 mg,Tablet,False,H,adult,Avoid with active ulcers/anticoagulants; take with food.,"Active GI bleed, severe ulcer disease, hypersensitivity.",
Acyclovir 400,Acyclovir,Acyclovir,Herpes infections,Nausea; Diarrhea; Headache,45.0,Generic,Start at first symptoms,400 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Zovirax 400,Acyclovir,Acyclovir,Herpes infections,Kidney effects with high doses,85.0,GlaxoSmithKline,Stay well hydrated,400 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Adaferin-BPO Gel,Adapalene + Benzoyl Peroxide,Adapalene + Benzoyl Peroxide,Acne topical treatment,Skin irritation; Dryness,195.0,Galenic Labs,Apply at night; Sunscreen in day,Unknown,Gel,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Alprazolam 0.5,Alprazolam,Alprazolam,Anxiety and panic disorders,Drowsiness; Dizziness; Memory problems,25.0,Generic,Habit forming - use as prescribed,0.5 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Alprax 0.5,Alprazolam,Alprazolam,Anxiety and panic disorders,Sedation; Confusion,28.5,Sun Pharmaceutical,Avoid alcohol,0.5 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Xanax 0.5,Alprazolam,Alprazolam,Anxiety and panic disorders,Dependence; Withdrawal symptoms,65.0,Pfizer,Do not drive after taking,0.5 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,
Amitone 10,Amitriptyline,Amitriptyline,Chronic pain; Depression,Drowsiness; Dry mouth,32.0,Intas,Bedtime dosing,10 mg,Tablet,False,H,adult,Risk of serotonin syndrome with MAOIs/Triptans.,MAOI use within 14 days.,
Amlodipine 5mg,Amlodipine,Amlodipine,High blood pressure,Swelling; Headache; Flushing,18.0,Generic,Take same time daily,5MG,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,एमलोडिपाइन
Amlong 5,Amlodipine,Amlodipine,High blood pressure,Ankle swelling; Fatigue,22.0,Micro Labs,Regular BP monitoring needed,5 mg,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,एमलोडिपाइन
Norvasc 5mg,Amlodipine,Amlodipine,High blood pressure,Dizziness; Palpitations,28.0,Pfizer,Do not stop suddenly,5MG,Tablet,False,H,adult,Consult your doctor; check for interactions.,Contraindications depend on patient condition; seek medical advice.,एमलोडिपाइन
